NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,405.8218531063444
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,463.9255733778092
b38a03232f43b11c9d0788abaf060f7366053b6d,486.768768729819
70b682d9a3636be23f6120fa9d6b164eb3c6002d,0.8016889682751271
715494628a50142ce8cb17191cfe6d0f3cae0934,460.6818742823591
e656d6bad65c93fb2880f1eba5037008c8e75774,474.99019561068764
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,563.0386756024336
11539e86171bf07d3a36f09377d7f54ebcc8406a,411.649492039757
043c544a2104aa8a9849f1a703a08d37a2f16839,524.0542977089272
76ba050e64ad100b856f0eaabd8f539d5c7dd185,470.08184785463834
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,1.5310523030572298
db4da599aab5bb08dce27094a35fd3e36cd0abce,3.1820619987283303
940aede382ccb332fab15d413217695ec44ca765,469.01564885223826
9ad714b116da76d878dd399d187fccc2dd13dd63,528.0282015841499
dd34464a4d780b12a089347ad580418ac57a3055,564.1122890431786
f837a4cb05a5fd59d20138182f5e8c721eadd584,481.8564526608112
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,1.4197618373096041
ca8477c8493b09f34d17bb287f9bacf2dd744c32,1.4197618373096041
8b0c675d7fde14953668269d378c588f0df0498b,8.770923632549062
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,368.4414160295026
3d203727f27abd83b71732d88d8cb1cc099f363b,448.04806370115597
d30d31c8ff45094e9a992c63d4a6f68b245a341a,281.14319357271705
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,2.414499742522933
cbc301183dec912f3513ca766bf03dd565f3a38f,490.8262618829943
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,666.6872893532375
11282da1ee78c8db45a041db4c744e33df489df0,441.414204292453
03c67f683a415c2ea09b582248bd4cb08528c19d,621.9604159299524
046e844fb06a07ba30b41521f0065a8d9c6e5024,398.9196824264465
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,439.1329498284561
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,4.773377874181207
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,-6.1935220204719785
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,406.2040600712744
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,546.8162942091301
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,498.9884731407204
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,562.49195942352
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,472.39600410871503
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,499.55473131861424
59bfa081e020013410d9f60f91813964ba749bb2,443.05328922922934
f5e069ee3bc95998464e8ff5da048b7f999921ed,455.4358640152499
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,629.8875316114813
664f44258212a1f7e4086f2b4845d586c543fa3f,475.1307304421095
265cd7befa74a9f2a198fc57baec9858075f8419,404.3212191285956
6f9ac44919bbd204e0ef15185388fd2d4bc61253,489.33025786565497
78de1ee60b55766cc3eba4089e36c57139b66ebd,435.1245132864108
